,id,client_id,user_id,avalanche_atlas_id,json_schema_id,obs_date_time,data.path_aspect,data.est_date_time,data.obs_date_time,data.relative_size,data.avalanche_type,data.destructive_size,data.avalanche_trigger,data.slab_width,data.path_location,data.path_elevation,data.slab_thickness,data.comments,data.slab_type,data.weak_layer,data.bed_surface,data.vertical_fall
0,66,15,2,775,34,2019-01-13 15:00:00,WNW,2019-01-13 12:00:00,2019-01-13 15:00:00,1.0,U,1.0,N,,,,,,,,,
1,67,15,2,793,34,2019-02-02 14:00:00,WSW,2019-02-02 06:00:00,2019-02-02 14:00:00,1.0,HS,1.0,N,50.0,top left,2700,50.0,,,,,
2,68,15,2,793,34,2019-02-08 09:00:00,WNW,2019-02-08 06:00:00,2019-02-08 09:00:00,1.5,SS,1.0,N,100.0,bottom center,1800,30.0,observed flying over headed to Snettisham for fieldwork; moderate N winds transporting snow,windslab,new snow,old snow surface,
3,69,15,3,784,34,2019-02-28 06:00:00,SW,2019-02-28 06:00:00,2019-02-28 06:00:00,3.0,HS,2.5,N,500.0,Roberts-Gastineau Saddle,2800,,"Observed first by Dustin Carrol, morning of DOT daisybell mission. Slide occurred pre-mission. Slab width, vertical and elevation in feet.",Wind Slab,,,1400.0
4,70,15,3,793,34,2019-02-22 08:30:00,NW,2019-02-22 08:30:00,2019-02-22 08:30:00,,SS,,N,300.0,Windward  N shoulder,2400,,"Slid at beginning of massive outflow event, possibly during storm. Observed from Douglas Breeze In. Crown disappeared within first two days of wind. Debris observed 2/26 at Gold Creek level. Slab Thickness in cm. Width, vertical and elevation in feet.",,,,2000.0
5,71,15,3,792,34,2019-02-23 08:30:00,SSW,2019-02-23 08:30:00,2019-02-23 08:30:00,,SS,2.5,N,400.0,Below main top cliff bench,3000,,"Timelapse video of \\""Downtown Juneau from Douglas Island at 475ft elevation\\"" on thesnowcloud.com showed slide occured at 08:30 and powderblast hit Perseverance Trail. High hazard on Gold Creek paths.",Wind Slab going SS to HS,,,2600.0
6,72,15,3,807,34,2019-03-03 06:00:00,W,2019-02-26 13:00:00,2019-03-03 06:00:00,2.0,HS,2.5,AX,80.0,Main central path of the face,2720,80.0,4th shot of Daisybell mission,hard slab ,Facet sandwich,Meltfreeze Crust,500.0
7,73,15,3,807,34,2019-03-03 06:00:00,W,2019-02-26 13:00:00,2019-03-03 06:00:00,2.0,HS,2.5,AX,80.0,Bottom lookers-right pocket,2650,80.0,3rd shot of Daisybell mission,hard slab ,Facet sandwich,Meltfreeze Crust,500.0
8,74,15,3,809,34,2019-02-08 10:00:00,E,2019-02-08 10:00:00,2019-02-08 10:00:00,1.0,SS,1.0,AR,50.0,"Upper pocket, above bowl",2630,75.0,Rapid wind stripping of light new snow creating isolated ribs of touchy windslab,wind slab,Facet sandwich,Meltfreeze Crust,100.0
9,75,15,3,808,34,2019-02-08 13:00:00,W,2019-02-08 13:00:00,2019-02-08 13:00:00,1.0,SS,0.5,AR,20.0,Lowest wind quarterpipe,3000,45.0,,soft slab,Facet sandwich,Meltfreeze Crust,50.0
10,76,15,3,809,34,2019-02-20 12:00:00,E,2019-02-20 11:00:00,2019-02-20 12:00:00,2.0,SS,2.0,AX,50.0,Main central path of bowl,2320,70.0,Last Daisybell result of mission. Profile dug adjacent to crown.,soft slab,Preserved Graupel snow grains,Meltfreeze Crust,400.0
11,77,15,3,782,34,2019-02-20 11:00:00,ESE,2019-02-20 11:00:00,2019-02-20 11:00:00,1.0,HS,1.0,AS,150.0,Along ridgeline,3600,30.0,Swept rider off his feet. Touchy ridgeline windslab ski cut nearby.,wind slab,,,150.0
12,78,15,2,793,34,2019-03-18 14:30:00,NW,2019-03-17 06:00:00,2019-03-18 14:30:00,2.0,WS,2.5,N,300.0,Gastineau Gold Ridge,3000,30.0,Multiple step-down/secondary slabs,,,,2400.0
13,79,15,2,790,34,2019-03-18 15:00:00,NW,2019-03-17 06:00:00,2019-03-18 15:00:00,2.0,WS,2.5,N,300.0,Backside Mt Juneau Salmon side,3400,100.0,multiple crowns in area,,,,800.0
14,80,15,2,824,34,2019-03-19 10:00:00,NE,2019-03-17 10:00:00,2019-03-19 10:00:00,3.0,WS,2.5,N,500.0,Northside Gastineau,3600,50.0,Ridgline and midbowl releases long propagations,,,,2000.0
15,81,15,2,825,34,2019-03-19 10:00:00,NNW,2019-03-17 06:00:00,2019-03-19 10:00:00,2.0,WS,2.5,N,500.0,Main bowl off the peak ridge,3800,50.0,Multiple stepdowns and secondary slides,,,,2600.0
16,82,15,2,826,34,2019-03-19 10:00:00,N,2019-03-17 06:00:00,2019-03-19 10:00:00,1.0,WS,2.0,N,100.0,westside halfway down,3200,50.0,,,,,600.0
17,83,15,2,827,34,2019-03-19 10:00:00,NW,2019-03-17 06:00:00,2019-03-19 10:00:00,1.0,WS,1.5,N,50.0,north of south rib main bowl,3000,30.0,,,,,600.0
18,84,15,2,811,34,2019-03-19 10:15:00,N,2019-03-17 06:00:00,2019-03-19 10:15:00,4.0,WS,3.5,N,5000.0,across from snettisham camp,4000,100.0,entire north face of bride,,,,4000.0
19,85,15,3,782,34,2019-03-19 10:15:00,ENE,2019-03-19 10:15:00,2019-03-19 10:15:00,3.0,WS,3.0,N,6500.0,Middle and North paths,3700,105.0,"Propagation cracks between two slides indicate simultaneous release, therefore calling it one whole avalanche",Wet,NSFacets / Meltforms,Ice - Rain Crust,3000.0
20,86,15,3,790,34,2020-01-25 16:00:00,S,2020-01-25 16:00:00,2020-01-25 16:00:00,1.0,U,1.5,N,,Perseverance,3000,,Reported by Steve Sano who saw the powdercloud hit the flume from basin road,,,,
21,87,15,3,849,34,2020-01-15 12:00:00,SSE,2020-02-04 06:00:00,2020-01-15 12:00:00,3.0,HS,2.0,AS,100.0,Stuart,2800,30.0,Reported by Matt Callahan who triggered it and sent an email to Pat Dryer with photos,,,,50.0
22,88,15,3,971,34,2020-01-17 11:00:00,S,2020-01-16 06:00:00,2020-01-17 11:00:00,2.0,HS,2.0,N,,Perseverance,3200,,Observed from Roberts trail the day after major wind event that knocked down mny trees on the trail,,,,
23,89,15,3,994,34,2020-01-14 13:00:00,S,2020-01-02 13:00:00,2020-01-14 13:00:00,2.0,HS,3.0,N,,Lemon Creek,2500,,"Glide slide all the way to the ground, triggered secondary slide to the ground lower down in the path. date of event uncertain",,,,
24,90,15,3,993,34,2020-01-14 13:00:00,SW,2020-01-14 06:00:00,2020-01-14 13:00:00,1.0,SS,1.5,N,,Lemon Creek,3000,,wind slab,,,,
25,91,15,3,836,34,2020-01-14 14:00:00,NNW,2020-01-14 06:00:00,2020-01-14 14:00:00,2.0,SS,2.0,N,,Tram Ridge,2500,,wind slab,,,,
26,92,15,3,864,34,2020-01-31 13:30:00,W,2020-01-31 06:00:00,2020-01-31 13:30:00,2.0,SS,2.0,N,,Fish Creek,2000,,may have been deeper and filled in before observed,,,,
27,93,15,3,864,34,2020-01-31 13:30:00,NW,2020-01-31 06:00:00,2020-01-31 13:30:00,2.0,SS,1.5,N,,Fish Creek,2000,,thinner slab at similar elevation in a different chute,,,,
28,94,15,3,1010,34,2020-02-02 11:00:00,SW,2020-02-01 06:00:00,2020-02-02 11:00:00,2.0,SS,2.0,N,,Limestone Inlet,2600,,,,,,
29,95,15,3,1011,34,2020-02-02 11:00:00,S,2020-02-02 06:00:00,2020-02-02 11:00:00,2.0,SS,2.0,N,,Limestone Inlet,2000,,,,,,
30,96,15,3,814,34,2020-02-02 13:00:00,SW,2020-02-02 06:00:00,2020-02-02 13:00:00,2.0,SS,2.0,N,,Crater Peak,3200,,,,,,
31,97,15,3,817,34,2020-02-02 14:00:00,ENE,2020-02-02 14:00:00,2020-02-02 14:00:00,2.0,SS,1.5,AB,,Speel Fours,1600,,Multiple small surface slabs triggered by Daisy Bell before battery died.,,,,
32,98,15,3,775,34,2020-02-02 15:00:00,W,2020-02-02 13:00:00,2020-02-02 15:00:00,1.0,L,0.5,AB,,Thane,3000,,Multiple small surface loose slides triggered by DOT Daisy Bell.,,,,
33,99,15,3,793,34,2020-02-06 10:00:00,NW,2020-02-04 06:00:00,2020-02-06 10:00:00,1.0,WL,2.5,N,,Perseverance,1600,,Small slab entrained lots of snow on the way down and developed a significant debris pile at the runout.,,,,
34,100,15,3,794,34,2020-02-06 10:00:00,NW,2020-02-04 06:00:00,2020-02-06 10:00:00,2.0,WL,2.0,N,,Perseverance,1200,,,,,,
35,101,15,2,793,34,2020-02-12 06:00:00,WNW,2020-02-10 06:00:00,2020-02-12 06:00:00,2.0,SS,3.0,NC,500.0,Perseverence,,,Natural noted as filled in; could have been from the 9th or 10th. Debris down into Gully; not sure how far down it went.,U,U,U,2500.0
36,102,15,2,939,34,2020-02-11 06:00:00,N,2020-02-10 06:00:00,2020-02-11 06:00:00,2.0,SS,3.0,N,1200.0,South Douglas,,,Visible across the Channel; can't see runout. Included pockets above the rock band.,U,U,U,
37,103,15,2,857,34,2020-02-09 17:00:00,NNE,2020-02-09 06:00:00,2020-02-09 17:00:00,3.0,HS,2.0,N,,Fish Creek,2900,,,,,,
38,104,15,2,863,34,2020-02-09 17:00:00,WNW,2020-02-09 06:00:00,2020-02-09 17:00:00,1.0,SS,1.0,N,,Fish Creek,2000,,,,,,
39,105,15,3,775,34,2020-02-11 14:00:00,SW,2020-02-11 14:00:00,2020-02-11 14:00:00,3.0,SS,3.0,AB,300.0,Thane Road,3200,40.0,Two shots from DOT cleared out storm slab from the previous day,storm slab,,,3100.0
40,106,15,3,784,34,2020-02-11 14:00:00,WSW,2020-02-11 14:00:00,2020-02-11 14:00:00,3.0,SS,2.5,AB,300.0,Thane Road,2800,40.0,One shot from DOT cleared out storm slab from the previous day,storm slab,,,1200.0
41,107,15,3,938,34,2020-02-11 16:00:00,N,2020-02-11 06:00:00,2020-02-11 16:00:00,2.0,SS,2.5,N,,South Douglas,2600,,"Scoped from downtown, also could see a slab crown just below the peak above the cliffs. No debris visible.",,,,
42,108,15,3,790,34,2020-02-12 12:00:00,SSW,2020-02-12 09:00:00,2020-02-12 12:00:00,2.0,SS,2.5,N,100.0,Perseverance,2800,40.0,"Powdercloud hit the flume, observed by Johnny B and on thesnowcloud.com timelapse at 09:30",storm slab,,,2400.0
43,109,15,3,943,34,2020-02-24 10:00:00,NE,2020-02-24 06:00:00,2020-02-24 10:00:00,2.0,SS,2.5,N,300.0,South Douglas,2200,50.0,,,,,800.0
44,110,15,3,832,34,2020-02-24 10:00:00,NW,2020-02-23 06:00:00,2020-02-24 10:00:00,1.0,SS,1.0,N,20.0,Dorothy,2600,20.0,,,,,100.0
45,111,15,3,775,34,2020-02-26 06:00:00,SW,2020-02-26 06:00:00,2020-02-26 06:00:00,2.0,SS,2.0,AB,200.0,Thane Road,3200,50.0,Largest result of the short weather window for DOT daisybell. Powdercloud hit the road. A few smaller pockets released as well. Unable to reach Cross Bay Creek before weather moved in.,Storm,,,3200.0
46,112,15,2,790,34,2020-02-26 06:00:00,SSE,2020-02-26 06:00:00,2020-02-26 06:00:00,1.0,WL,1.5,N,,Gold Creek,,,Slide heard by linecrew working above Basin Rd. I observed a small new debris pile at foot of the cliffs.,SS,U,U,
47,113,15,2,793,34,2020-02-27 14:00:00,NW,2020-02-27 06:00:00,2020-02-27 14:00:00,3.0,U,3.0,N,,Perseverance,3000,,couldn't see crown,,,,
48,114,15,3,808,34,2020-02-29 10:00:00,W,2020-02-29 06:00:00,2020-02-29 10:00:00,1.0,SS,1.5,N,,Arthur Peak,2800,,,,,,
49,115,15,3,776,34,2020-02-29 11:00:00,SE,2020-02-29 06:00:00,2020-02-29 11:00:00,1.0,WS,1.0,N,,Snettisham,200,,,,,,
50,116,15,3,817,34,2020-02-29 12:00:00,NE,2020-02-29 11:30:00,2020-02-29 12:00:00,1.0,WS,1.5,N,50.0,Speel Fours,1500,200.0,Observed after daisybell mitigation produced minimal results. Glide release occurred while dropping daisybell back at Snettisham.,glide to ground,glide,bedrock,100.0
51,117,15,3,818,34,2020-02-29 10:00:00,ENE,2020-02-29 06:00:00,2020-02-29 10:00:00,1.0,WS,2.0,N,50.0,Speel Fours,1600,200.0,,glide to ground,glide,bedrock,400.0
52,118,15,3,808,34,2020-03-07 15:30:00,W,2020-03-07 15:30:00,2020-03-07 15:30:00,1.0,SS,1.5,NC,100.0,Arthur Peak,2700,40.0,Potentially reloaded from avalanche observed previous Saturday,"soft, +uncertain new",graupel/dendrites,rime crust (reloaded?),200.0
53,119,15,2,800,34,2020-03-10 15:00:00,SW,2020-03-09 22:00:00,2020-03-10 15:00:00,1.0,SS,1.5,N,150.0,,,40.0,Mid right pocket of upper SZ. Observed driving on Egan. Appears last night due to filled in a bit. Debris did not pass bench.,U,U,U,
54,120,15,3,971,34,2020-04-19 17:00:00,S,2020-04-18 16:00:00,2020-04-19 17:00:00,2.0,WL,2.0,N,,Perseverance,2000,,Slide crossed gold creek and perseverance trail sometime between 4/18 @ 1500 and 4/19 @ 1700. Temps warmer on 4/18 and smaller natural activity noted on adjacent slope at 1500 so 1600 most likely time of occurence.,,,,
55,121,15,3,824,34,2020-04-17 13:00:00,N,2020-04-09 06:00:00,2020-04-17 13:00:00,2.0,HS,3.0,NC,,Perseverance,3600,,"High uncertainty on date of occurence, large chunk of cornice visibly broken off, many large chunks down below",,,,1200.0
56,122,15,3,845,34,2020-04-11 18:00:00,W,2020-04-09 06:00:00,2020-04-11 18:00:00,3.0,SS,2.5,N,,Fish Creek,2700,,Likely slid and refilled by intense winds. Hard to tell how deep it went.,,,,2200.0
57,123,15,2,776,34,2020-02-13 17:00:00,S,2020-02-13 16:00:00,2020-02-13 17:00:00,2.0,WS,1.5,N,40.0,Snettisham Camp,,30.0,Glide avalanche- post cool down. Noted in net radiation at BCY that skies cleared briefly this afternoon. Rob told me of the slide on 2/14 (noted it occurred between 3-5pm) after it blocked the Erection Bay entrance.,WS,MF,ground,200.0
58,124,15,2,780,34,2020-03-05 06:00:00,SW,2020-03-05 06:00:00,2020-03-05 06:00:00,3.0,WS,2.5,N,,Thane Road,,,Natural that came pretty close to the campground as well as poles #14860 and #14861,,,,
59,125,15,2,807,34,2020-05-01 06:00:00,WNW,2020-04-22 06:00:00,2020-05-01 06:00:00,2.0,WS,2.5,N,,Stephens Passage,2600,500.0,Glide avalanche lower right went into trees above the gully. Don't know when released.,,,,
60,126,15,2,816,34,2020-05-01 06:00:00,E,2020-04-22 06:00:00,2020-05-01 06:00:00,3.0,WS,2.0,N,,Speel Arm,1400',,Series of glide releases that came down sometime in the last 2 weeks. Debris flowed through tower base.,,,,
61,127,15,2,817,34,2020-05-01 06:00:00,E,2020-04-22 06:00:00,2020-05-01 06:00:00,2.0,WS,2.5,N,,Speel Arm,,,Glide release that came close to diverter. Only a relatively small portion of SZ.,,,,
62,128,15,2,816,34,2020-02-18 15:00:00,E,2020-02-18 15:00:00,2020-02-18 15:00:00,1.0,SS,1.5,AX,,,,25.0,Daisybell control work released shallow storm snow layers. Dusted tower.,,,,
63,129,15,2,811,34,2020-02-18 12:00:00,N,2020-02-17 06:00:00,2020-02-18 12:00:00,2.0,HS,3.0,N,,,,,Natural released mid face in multiple pockets. Resulted in deep multi fingered wet debris in runout.,,,,
64,130,15,2,818,34,2020-04-11 06:00:00,E,2020-04-10 06:00:00,2020-04-11 06:00:00,2.0,WS,2.5,N,,,,,Natural glide release pushed well into trees just above the Diverter. Not sure when this released. Daisybell could not move anything else.,,,,
65,657,15,21,775,34,2020-12-01 13:40:00,SW,2020-12-01 13:40,2020-12-01 13:40,3.5,WS,3.0,N,,,,,,,,,
66,658,15,21,821,34,2020-12-03 11:26:00,,2020-12-01 11:15,2020-12-03 11:26,2.0,U,2.0,N,,,,,,,,,
67,659,15,21,811,34,2020-12-03 11:54:00,,2020-12-01 11:54,2020-12-03 11:54,2.0,U,2.0,N,,,,,,,,,
68,660,15,21,813,34,2020-12-03 11:55:00,,2020-12-01 11:55,2020-12-03 11:55,2.0,U,2.0,N,,,,,,,,,
69,661,15,21,810,34,2020-12-03 11:56:00,,2020-12-01 11:56,2020-12-03 11:56,2.0,U,3.0,N,,,,,,,,,
70,662,15,21,816,34,2020-12-03 12:05:00,,2020-12-01 12:05,2020-12-03 12:05,2.0,U,2.0,N,,,,,,,,,
71,663,15,21,818,34,2020-12-03 12:06:00,,2020-12-01 12:06,2020-12-03 12:06,2.0,U,2.0,N,,,,,,,,,
72,664,15,21,947,34,2020-12-03 12:11:00,,2020-12-01 12:11,2020-12-03 12:11,2.0,U,2.0,N,,,,,,,,,
73,665,15,21,948,34,2020-12-03 12:13:00,,2020-12-01 12:13,2020-12-03 12:13,2.0,U,2.0,N,,,,,,,,,
74,666,15,21,972,34,2020-12-03 12:15:00,,2020-12-01 12:15,2020-12-03 12:15,2.0,U,2.0,N,,,,,,,,,
75,667,15,21,977,34,2020-12-03 12:17:00,,2020-12-01 12:17,2020-12-03 12:17,2.0,WS,2.0,N,,,,,,,,,
76,668,15,21,1075,34,2020-12-03 11:58:00,E,2020-12-01 12:59,2020-12-03 11:58,2.0,WS,2.0,N,,,,,,,,,
77,669,15,21,1074,34,2020-12-01 13:01:00,S,2020-12-01 12:01,2020-12-01 13:01,3.0,U,2.0,N,,,,,,,,,
78,670,15,21,788,34,2020-12-01 13:04:00,SW,2020-12-01 13:04,2020-12-01 13:04,,U,,N,,,,,,,,,
79,671,15,21,917,34,2020-12-02 09:45:00,,2020-12-01 09:45,2020-12-02 09:45,2.5,WS,2.0,N,,,,,,,,,
80,672,15,21,907,34,2020-12-02 09:47:00,NW,2020-12-01 09:47,2020-12-02 09:47,4.0,SS,2.0,N,300.0,,,200.0,observed by Tucker Cooper on CAAC,,,Nov 1st super crust,300.0
81,673,15,21,838,34,2020-12-02 09:45:00,,2020-12-01 09:47,2020-12-02 09:45,2.0,U,2.0,N,,,,,,,,,
82,674,15,21,853,34,2020-12-02 09:47:00,,2020-12-01 09:47,2020-12-02 09:47,,,,,,,,,,,,,
83,675,15,21,865,34,2020-12-01 13:40:00,,2020-12-01 09:45,2020-12-01 13:40,1.0,WS,2.0,N,,,,,,,,,
84,676,15,21,793,34,2020-12-02 11:34:00,W,2020-12-01 11:34,2020-12-02 11:34,1.5,WS,3.0,N,,,,,,,,,
85,677,15,21,840,34,2020-12-05 12:23:00,,2020-12-01 17:39,2020-12-05 12:23,,,,N,,,,,Ray Imel posting on CAAC,,,,
86,678,15,21,842,34,2020-12-05 12:23:00,,2020-12-01 11:34,2020-12-05 12:23,,,,N,,,,,Ray Imel posting on CAAC,,,,
87,679,15,21,921,34,2020-12-05 16:24:00,,2020-12-01 17:48,2020-12-05 16:24,2.0,WS,2.0,N,,,,,Mike Hekkers posting on CAAC,,,,
88,680,15,21,928,34,2020-12-05 16:24:00,,2020-12-01 17:39,2020-12-05 16:24,,,,N,,,,,Mike Hekkers posting on CAAC,,,,
89,681,15,21,840,34,2020-11-13 11:00:00,N,2020-11-13 11:00,2020-11-13 11:00,3.5,SS,2.0,AS,300.0,Upper bowl,3000,100.0,Peter Flynn/Sam Roche postings on CAAC,soft slab,1mm facets,Nov 1 super crust,100.0
90,682,15,21,950,34,2020-11-10 12:23:00,WNW,2020-11-09 18:13,2020-11-10 12:23,3.0,U,3.0,N,,North Ridge off Hawthorne Peak ,3500,35.0,Mike Janes posting on CAAC. Two slides one of which does not have a path on this atlas yet.,,,,3000.0
91,700,15,21,784,34,2021-01-09 12:23:00,W,2021-01-07 11:34,2021-01-09 12:23,1.0,SS,1.5,N,,,2600,,"observed from Douglas boat harbor, partially filled in ",,,,
92,701,15,21,843,34,2020-12-27 12:23:00,,2020-12-24 12:08,2020-12-27 12:23,2.0,U,2.5,N,,,3100,,"Sam Steenlands posting on CAAC, also noted widespread surface hoar",,,,
93,702,15,21,876,34,2021-01-10 12:23:00,NW,2021-01-10 09:22,2021-01-10 12:23,1.0,WL,1.0,N,,,2400,,D K posting on CAAC,,,January 10,
94,703,15,21,840,34,2020-12-24 12:23:00,,2021-01-23 12:33,2020-12-24 12:23,,SS,1.5,,,,,30.0,Noah Jenkins posting on CAAC,,,,
95,704,15,21,849,34,2020-12-25 12:23:00,SE,2020-12-25 12:39,2020-12-25 12:23,1.0,HS,1.0,AS,15.0,,2200,20.0,Alex Burkhart posting on CAAC,,12/24,12/23,20.0
96,705,15,21,939,34,2021-01-03 12:23:00,N,2021-01-03 02:51,2021-01-03 12:23,1.0,SS,1.5,N,40.0,,2100,,Alex Burkhart posting on CAAC,,1/3 new snow,12/30 FZFG crust,
97,706,15,21,844,34,2021-01-03 12:23:00,N,2021-01-03 12:58,2021-01-03 12:23,1.0,L,0.5,AR,,,,15.0,Mike Riederer posting on CAAC,,,1/3,50.0
98,707,15,21,939,34,2021-01-08 13:13:00,N,2021-01-07 13:13,2021-01-08 13:13,1.0,HS,2.5,N,100.0,Above the huge cliffs,2700,,"First noted by Tom Mattice, potential deep slab off the cliffs, uncertain if it triggered anything below",,,potentially December 2 or November 1,
99,708,15,21,837,34,2021-01-19 11:00:00,N,2021-01-18 11:34,2021-01-19 11:00,1.0,C,2.5,NC,,,2600,,,,,,100.0
100,709,15,21,972,34,2021-01-21 10:31:00,NNW,2021-01-18 11:34,2021-01-21 10:31,3.0,HS,3.0,N,,,3300,,"debris partially buried, deep slab, destructive size uncertain",,,,
101,710,15,21,824,34,2021-01-21 10:33:00,N,2021-01-18 17:04,2021-01-21 10:33,3.0,SS,3.0,N,,,3000,,"debris partially buried, ran full path length, destructive size uncertain",,,,1500.0
102,711,15,21,917,34,2021-01-26 12:23:00,E,2021-01-18 17:09,2021-01-26 12:23,4.0,SS,2.5,,,,2000,,"Unknown trigger, multiple crowns, see my CAAC post",,,,600.0
103,712,15,21,927,34,2021-01-26 12:23:00,W,2021-01-18 11:34,2021-01-26 12:23,3.0,WS,2.5,N,,,,,,,,,
104,713,15,21,935,34,2021-01-26 12:23:00,N,2021-01-18 11:34,2021-01-26 12:23,2.0,,,N,,,2600,,"crown seen from Lawson meadows, debris unknown",,,,
105,714,15,21,847,34,2021-01-31 10:23:00,N,2021-01-18 11:34,2021-01-31 10:23,2.0,WS,2.5,N,,,2400,,"multiple debris piles, almost all of the gills slid",,,,
106,715,15,21,876,34,2021-02-02 12:46:00,WSW,2021-02-02 12:46,2021-02-02 12:46,1.0,SS,1.5,AS,20.0,classic wind loaded face,2600,,"Triggered by Salar Peirovi, mistakenly initiated rescue response",,SH,PP,60.0
107,716,15,21,1155,34,2021-02-02 12:23:00,S,2021-02-02 12:17,2021-02-02 12:23,3.0,HS,2.5,AM,100.0,,,200.0,"Triggered by Mitchel Laudert, photos from Paul Paramore",wind slab,,,150.0
108,717,15,21,790,34,2021-02-04 13:41:00,,2021-02-04 13:41,2021-02-04 13:41,1.0,L,1.0,N,,,,,"heard from Gastineau Ridge, obscured by cloud, Mike Janes observed debris pile afterwards",,,,
109,718,15,21,790,34,2021-01-26 14:23:00,,2021-01-26 14:23,2021-01-26 14:23,2.0,,2.0,N,,,,,Jordan Watson posting on CAAC,,,,
110,719,15,21,849,34,2021-01-27 12:34:00,SE,2021-01-27 12:34,2021-01-27 12:34,1.0,SS,1.5,AS,100.0,,2500,30.0,Peter Flynn posting on CAAC,wind slab,SH,,
111,720,15,21,876,34,2021-01-30 10:00:00,W,2021-01-28 18:32,2021-01-30 10:00,1.0,SS,1.0,,25.0,,2600,,Brent Wittmer posting on CAAC,,,,50.0
112,721,15,21,790,34,2021-02-09 15:40:00,S,2021-02-09 15:40,2021-02-09 15:40,2.0,SS,1.5,N,300.0,bottom left corner pocket,2600,,I watched this come off the mountain from right below at the Roberts Trailhead! see my CAAC post for video/photos.,wind slab,,,2500.0
113,722,15,21,944,34,2020-12-13 14:35:00,SE,2021-02-13 14:35,2020-12-13 14:35,2.0,HS,2.0,AM,50.0,,,40.0,Mike Janes/Alan Gordon posting on CAAC,triple wind slab stack,,,1000.0
114,747,15,2,775,34,2021-04-22 08:43:00,,,2021-04-22 08:43,,,,,,,,,,,,,
